imdbID,original title,genres,countries,country codes,box office,certificates,rating,votes,plot outline,year,kind,full-size cover url
0000045,Les blanchisseuses,Short,France,fr,N/A,N/A,3.8,35,N/A,1896,movie,https://m.media-amazon.com/images/M/MV5BNzBjZjI4YjYtNGIyOC00ZDQyLTg0OTctN2U2YmUyMjJiZTQzXkEyXkFqcGdeQXVyNTI2NTY2MDI@.jpg
0000047,Boulevard des Italiens,"Documentary,Short",France,fr,N/A,N/A,3.3,36,N/A,1896,movie,https://m.media-amazon.com/images/M/MV5BYTU4MDhhNDAtNDNhOS00ZjRiLTk4OTQtOWQwNTkwN2I2MGNlXkEyXkFqcGdeQXVyNTI2NTY2MDI@.jpg
0000048,The Boxing Kangaroo,Short,United Kingdom,gb,N/A,N/A,4.8,197,N/A,1896,movie,https://m.media-amazon.com/images/M/MV5BYWExYWNmNzQtODQwNS00OTcxLTk4NDMtYjBhNDQ0ZDJjZWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg
0000046,Bois de Boulogne,"Documentary,Short",France,fr,N/A,N/A,3.9,36,N/A,1896,movie,https://m.media-amazon.com/images/M/MV5BZWM2N2MzMGMtNzNkNi00OTc2LTg5NDQtNWViNTA2MGIwNmFhXkEyXkFqcGdeQXVyNTI2NTY2MDI@.jpg
0000041,Bataille de neige,"Documentary,Short,Comedy",France,fr,N/A,N/A,6.7,1835,"Wintertime in Lyon. About a dozen people, men and women, are having a snowball fight in the middle of a tree-lined street. The cyclist coming along the road becomes the target of opportunity. He falls off his bicycle. He's not hurt, but he rides back the way he came, as the fight continues. Uh-oh. He forgot his cap in the snow.",1897,movie,https://m.media-amazon.com/images/M/MV5BN2FiMDZmNTUtNGMxMC00ZDQ2LTg5YjktMGNkNDA2NGIzOWFlXkEyXkFqcGdeQXVyODgzNDIwODA@.jpg
0000049,"Boxing Match; or, Glove Contest","Short,Sport",United Kingdom,gb,N/A,N/A,5.0,51,N/A,1896,movie,https://m.media-amazon.com/images/M/MV5BNjQ0YzQwYjctMTljYi00MzhmLTliMGUtMTY2NzE3MjgzYzYzXkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg
0000050,Bébé et fillettes,"Documentary,Short",France,fr,N/A,N/A,3.9,36,N/A,1896,movie,https://m.media-amazon.com/images/M/MV5BYjBjMDRjYmEtODFiNy00NjJhLTk0ZjktMDQ3NmVkNDRmMzc2XkEyXkFqcGdeQXVyNTI2NTY2MDI@.jpg
0000051,Campement de bohémiens,"Documentary,Short",France,fr,N/A,N/A,3.4,37,N/A,1896,movie,https://m.media-amazon.com/images/M/MV5BYTE5ZGFjNWMtYzE2NC00ZGMzLTk3N2YtMzJhNjFiMmY1NmU1XkEyXkFqcGdeQXVyNTI2NTY2MDI@.jpg
0000053,A Chegada do Comboio Inaugural à Estação Central do Porto,"Documentary,Short",Portugal,pt,N/A,N/A,3.3,19,N/A,1897,movie,N/A
0000056,Uma Corrida de Touros no Campo Pequeno,Short,United Kingdom,gb,N/A,N/A,2.8,24,N/A,1896,movie,N/A
